,约旦就业,约旦失业,人口
国家或地区,约旦,约旦,约旦
单位,人,人,人
平均,44612.800,6863.733,4352920.000
方差,28788348.600,604651.495,3279505118051.282
标准差,5365.477,777.593,1810940.396
偏度,0.352,-0.178,0.769
峰度,-1.136,-1.232,0.683
变异系数,0.120,0.113,0.416
最小,36726.000,5511.000,1889300.000
最大,53035.000,8008.000,9531000.000
中位数,42685.000,7132.000,4323500.000
观测次数,15.000,15.000,40.000
1976,,,1889300.000
1977,,,1971600.000
1978,,,2057500.000
1979,,,2133000.000
1980,,,2233000.000
1981,,,2319000.000
1982,,,2409000.000
1983,,,2502000.000
1984,,,2599000.000
1985,,,2700000.000
1986,,,2805000.000
1987,,,2914000.000
1988,,,3027000.000
1989,,,3144000.000
1990,,,3468000.000
1991,,,3701000.000
1992,,,3844000.000
1993,,,3993000.000
1994,,,4139400.000
1995,,,4264000.000
1996,,,4383000.000
1997,,,4506000.000
1998,,,4623000.000
1999,,,4738000.000
2000,37561.000,5944.000,4857000.000
2001,36726.000,6330.000,4978000.000
2002,43473.000,7832.000,5098000.000
2003,42685.000,7242.000,5230000.000
2004,,,5350000.000
2005,42120.000,7298.000,5473000.000
2006,41478.000,6733.000,5600000.000
2007,53035.000,8008.000,5723000.000
2008,52316.000,7589.000,5850000.000
2009,52090.000,7694.000,5980000.000
2010,50211.000,7158.000,6113000.000
2011,48214.000,7132.000,6249000.000
2012,45924.000,6355.000,6388000.000
2013,42008.000,6057.000,6530000.000
2014,40837.000,5511.000,8804000.000
2015,40514.000,6073.000,9531000.000
