,存款利率：加权平均：储蓄,兑美元汇率：月度平均
国家或地区,约旦,约旦
单位,年利率%,约旦第纳尔/美元
平均,1.491,0.511
方差,1.536,0.031
标准差,1.239,0.177
偏度,1.531,0.143
峰度,0.759,-1.927
变异系数,0.831,0.346
最小,0.600,0.291
最大,4.790,0.714
中位数,0.860,0.372
观测次数,212.000,716.000
01/1957,,0.357
02/1957,,0.357
03/1957,,0.357
04/1957,,0.357
05/1957,,0.357
06/1957,,0.357
07/1957,,0.357
08/1957,,0.357
09/1957,,0.357
10/1957,,0.357
11/1957,,0.357
12/1957,,0.357
01/1958,,0.357
02/1958,,0.357
03/1958,,0.357
04/1958,,0.357
05/1958,,0.357
06/1958,,0.357
07/1958,,0.357
08/1958,,0.357
09/1958,,0.357
10/1958,,0.357
11/1958,,0.357
12/1958,,0.357
01/1959,,0.357
02/1959,,0.357
03/1959,,0.357
04/1959,,0.357
05/1959,,0.357
06/1959,,0.357
07/1959,,0.357
08/1959,,0.357
09/1959,,0.357
10/1959,,0.357
11/1959,,0.357
12/1959,,0.357
01/1960,,0.357
02/1960,,0.357
03/1960,,0.357
04/1960,,0.357
05/1960,,0.357
06/1960,,0.357
07/1960,,0.357
08/1960,,0.357
09/1960,,0.357
10/1960,,0.357
11/1960,,0.357
12/1960,,0.357
01/1961,,0.357
02/1961,,0.357
03/1961,,0.357
04/1961,,0.357
05/1961,,0.357
06/1961,,0.357
07/1961,,0.357
08/1961,,0.357
09/1961,,0.357
10/1961,,0.357
11/1961,,0.357
12/1961,,0.357
01/1962,,0.357
02/1962,,0.357
03/1962,,0.357
04/1962,,0.357
05/1962,,0.357
06/1962,,0.357
07/1962,,0.357
08/1962,,0.357
09/1962,,0.357
10/1962,,0.357
11/1962,,0.357
12/1962,,0.357
01/1963,,0.357
02/1963,,0.357
03/1963,,0.357
04/1963,,0.357
05/1963,,0.357
06/1963,,0.357
07/1963,,0.357
08/1963,,0.357
09/1963,,0.357
10/1963,,0.357
11/1963,,0.357
12/1963,,0.357
01/1964,,0.357
02/1964,,0.357
03/1964,,0.357
04/1964,,0.357
05/1964,,0.357
06/1964,,0.357
07/1964,,0.357
08/1964,,0.357
09/1964,,0.357
10/1964,,0.357
11/1964,,0.357
12/1964,,0.357
01/1965,,0.357
02/1965,,0.357
03/1965,,0.357
04/1965,,0.357
05/1965,,0.357
06/1965,,0.357
07/1965,,0.357
08/1965,,0.357
09/1965,,0.357
10/1965,,0.357
11/1965,,0.357
12/1965,,0.357
01/1966,,0.357
02/1966,,0.357
03/1966,,0.357
04/1966,,0.357
05/1966,,0.357
06/1966,,0.357
07/1966,,0.357
08/1966,,0.357
09/1966,,0.357
10/1966,,0.357
11/1966,,0.357
12/1966,,0.357
01/1967,,0.357
02/1967,,0.357
03/1967,,0.357
04/1967,,0.357
05/1967,,0.357
06/1967,,0.357
07/1967,,0.357
08/1967,,0.357
09/1967,,0.357
10/1967,,0.357
11/1967,,0.357
12/1967,,0.357
01/1968,,0.357
02/1968,,0.357
03/1968,,0.357
04/1968,,0.357
05/1968,,0.357
06/1968,,0.357
07/1968,,0.357
08/1968,,0.357
09/1968,,0.357
10/1968,,0.357
11/1968,,0.357
12/1968,,0.357
01/1969,,0.357
02/1969,,0.357
03/1969,,0.357
04/1969,,0.357
05/1969,,0.357
06/1969,,0.357
07/1969,,0.357
08/1969,,0.357
09/1969,,0.357
10/1969,,0.357
11/1969,,0.357
12/1969,,0.357
0,,0.357
02/1970,,0.357
03/1970,,0.357
04/1970,,0.357
05/1970,,0.357
06/1970,,0.357
07/1970,,0.357
08/1970,,0.357
09/1970,,0.357
10/1970,,0.357
11/1970,,0.357
12/1970,,0.357
01/1971,,0.357
02/1971,,0.357
03/1971,,0.357
04/1971,,0.357
05/1971,,0.357
06/1971,,0.357
07/1971,,0.357
08/1971,,0.357
09/1971,,0.357
10/1971,,0.357
11/1971,,0.357
12/1971,,0.357
01/1972,,0.357
02/1972,,0.357
03/1972,,0.357
04/1972,,0.357
05/1972,,0.357
06/1972,,0.357
07/1972,,0.357
08/1972,,0.357
09/1972,,0.357
10/1972,,0.357
11/1972,,0.357
12/1972,,0.357
01/1973,,0.358
02/1973,,0.338
03/1973,,0.327
04/1973,,0.328
05/1973,,0.329
06/1973,,0.324
07/1973,,0.317
08/1973,,0.321
09/1973,,0.323
10/1973,,0.323
11/1973,,0.326
12/1973,,0.328
01/1974,,0.333
02/1974,,0.330
03/1974,,0.325
04/1974,,0.320
05/1974,,0.317
06/1974,,0.318
07/1974,,0.317
08/1974,,0.321
09/1974,,0.320
10/1974,,0.317
11/1974,,0.327
12/1974,,0.320
01/1975,,0.315
02/1975,,0.313
03/1975,,0.310
04/1975,,0.314
05/1975,,0.313
06/1975,,0.312
07/1975,,0.320
08/1975,,0.326
09/1975,,0.329
10/1975,,0.327
11/1975,,0.329
12/1975,,0.330
01/1976,,0.330
02/1976,,0.330
03/1976,,0.331
04/1976,,0.331
05/1976,,0.332
06/1976,,0.334
07/1976,,0.333
08/1976,,0.332
09/1976,,0.332
10/1976,,0.332
11/1976,,0.333
12/1976,,0.333
01/1977,,0.332
02/1977,,0.333
03/1977,,0.333
04/1977,,0.331
05/1977,,0.331
06/1977,,0.331
07/1977,,0.327
08/1977,,0.329
09/1977,,0.331
10/1977,,0.328
11/1977,,0.325
12/1977,,0.320
01/1978,,0.315
02/1978,,0.313
03/1978,,0.311
04/1978,,0.310
05/1978,,0.314
06/1978,,0.311
07/1978,,0.306
08/1978,,0.301
09/1978,,0.299
10/1978,,0.295
11/1978,,0.297
12/1978,,0.297
01/1979,,0.295
02/1979,,0.298
03/1979,,0.299
04/1979,,0.303
05/1979,,0.306
06/1979,,0.306
07/1979,,0.300
08/1979,,0.300
09/1979,,0.300
10/1979,,0.301
11/1979,,0.300
12/1979,,0.297
01/1980,,0.295
02/1980,,0.296
03/1980,,0.304
04/1980,,0.306
05/1980,,0.298
06/1980,,0.294
07/1980,,0.291
08/1980,,0.294
09/1980,,0.292
10/1980,,0.295
11/1980,,0.302
12/1980,,0.309
01/1981,,0.310
02/1981,,0.321
03/1981,,0.321
04/1981,,0.326
05/1981,,0.332
06/1981,,0.336
07/1981,,0.337
08/1981,,0.340
09/1981,,0.335
10/1981,,0.335
11/1981,,0.335
12/1981,,0.338
01/1982,,0.341
02/1982,,0.345
03/1982,,0.347
04/1982,,0.349
05/1982,,0.343
06/1982,,0.353
07/1982,,0.356
08/1982,,0.357
09/1982,,0.358
10/1982,,0.362
11/1982,,0.363
12/1982,,0.355
01/1983,,0.352
02/1983,,0.356
03/1983,,0.357
04/1983,,0.358
05/1983,,0.358
06/1983,,0.363
07/1983,,0.365
08/1983,,0.369
09/1983,,0.369
10/1983,,0.366
11/1983,,0.370
12/1983,,0.373
01/1984,,0.376
02/1984,,0.374
03/1984,,0.369
04/1984,,0.371
05/1984,,0.379
06/1984,,0.378
07/1984,,0.383
08/1984,,0.386
09/1984,,0.395
10/1984,,0.400
11/1984,,0.399
12/1984,,0.404
01/1985,,0.407
02/1985,,0.414
03/1985,,0.414
04/1985,,0.404
05/1985,,0.405
06/1985,,0.401
07/1985,,0.391
08/1985,,0.387
09/1985,,0.389
10/1985,,0.379
11/1985,,0.374
12/1985,,0.370
01/1986,,0.367
02/1986,,0.359
03/1986,,0.353
04/1986,,0.353
05/1986,,0.349
06/1986,,0.351
07/1986,,0.347
08/1986,,0.342
09/1986,,0.343
10/1986,,0.342
11/1986,,0.346
12/1986,,0.346
01/1987,,0.338
02/1987,,0.339
03/1987,,0.339
04/1987,,0.333
05/1987,,0.332
06/1987,,0.340
07/1987,,0.344
08/1987,,0.344
09/1987,,0.342
10/1987,,0.343
11/1987,,0.336
12/1987,,0.332
01/1988,,0.335
02/1988,,0.339
03/1988,,0.337
04/1988,,0.336
05/1988,,0.341
06/1988,,0.358
07/1988,,0.368
08/1988,,0.360
09/1988,,0.377
10/1988,,0.411
11/1988,,0.459
12/1988,,0.472
01/1989,,0.486
02/1989,,0.527
03/1989,,0.540
04/1989,,0.540
05/1989,,0.543
06/1989,,0.569
07/1989,,0.569
08/1989,,0.595
09/1989,,0.612
10/1989,,0.628
11/1989,,0.640
12/1989,,0.646
01/1990,,0.656
02/1990,,0.667
03/1990,,0.672
04/1990,,0.672
05/1990,,0.670
06/1990,,0.670
07/1990,,0.665
08/1990,,0.659
09/1990,,0.659
10/1990,,0.654
11/1990,,0.658
12/1990,,0.663
01/1991,,0.667
02/1991,,0.666
03/1991,,0.675
04/1991,,0.681
05/1991,,0.681
06/1991,,0.686
07/1991,,0.688
08/1991,,0.690
09/1991,,0.688
10/1991,,0.687
11/1991,,0.682
12/1991,,0.679
01/1992,,0.677
02/1992,,0.679
03/1992,,0.686
04/1992,,0.690
05/1992,,0.682
06/1992,,0.676
07/1992,,0.669
08/1992,,0.668
09/1992,,0.673
10/1992,,0.680
11/1992,,0.689
12/1992,,0.689
01/1993,,0.689
02/1993,,0.691
03/1993,,0.691
04/1993,,0.686
05/1993,,0.686
06/1993,,0.692
07/1993,,0.697
08/1993,,0.694
09/1993,,0.691
10/1993,,0.694
11/1993,,0.701
12/1993,,0.702
01/1994,,0.706
02/1994,,0.702
03/1994,,0.701
04/1994,,0.704
05/1994,,0.699
06/1994,,0.695
07/1994,,0.691
08/1994,,0.696
09/1994,,0.697
10/1994,,0.695
11/1994,,0.697
12/1994,,0.703
01/1995,,0.699
02/1995,,0.699
03/1995,,0.686
04/1995,,0.686
05/1995,,0.692
06/1995,,0.694
07/1995,,0.697
08/1995,,0.709
09/1995,,0.714
10/1995,,0.711
11/1995,,0.709
12/1995,,0.709
01/1996,,0.709
02/1996,,0.709
03/1996,,0.709
04/1996,,0.709
05/1996,,0.709
06/1996,,0.709
07/1996,,0.709
08/1996,,0.709
09/1996,,0.709
10/1996,,0.709
11/1996,,0.709
12/1996,,0.709
