,施工许可证数量,施工许可证数量：住宅,施工许可证数量：非住宅
国家或地区,约旦,约旦,约旦
单位,项,项,项
平均,28593.111,26181.056,2412.056
方差,62942399.28,54460283.59,382111.585
标准差,7933.625,7379.721,618.152
偏度,-0.331,-0.263,-0.77
峰度,-1.21,-1.225,-0.647
变异系数,0.277,0.282,0.256
最小,15371,14258,1113
最大,39578,36642,3153
中位数,30654,27591,2590.5
观测次数,18,18,18
1998,15971,14424,1547
1999,15371,14258,1113
2000,17925,16381,1544
2001,21248,19561,1687
2002,21433,19587,1846
2003,22555,20452,2103
2004,27064,24627,2437
2005,25683,23165,2518
2006,33388,30519,2869
2007,34444,31789,2655
2008,39285,36424,2861
2009,34581,31520,3061
2010,31732,28579,3153
2011,29576,26603,2973
2012,32466,29940,2526
2013,36601,33906,2695
2014,39578,36642,2936
2015,35775,32882,2893
