,领有牌照的建筑面积,领有牌照的建筑面积：住宅,领有牌照的建筑面积：非住宅
国家或地区,约旦,约旦,约旦
单位,千平方米,千平方米,千平方米
平均,10061.174,8213.888,1847.286
方差,11703649.49,7835144.762,482392.735
标准差,3421.06,2799.133,694.545
偏度,-0.561,-0.365,-0.677
峰度,-0.955,-0.97,-0.477
变异系数,0.34,0.341,0.376
最小,4097.2,3427.6,576.1
最大,14992.332,12578.352,3003
中位数,11166.13,8858.29,2126.61
观测次数,18,18,18
1998,4097.2,3427.6,669.6
1999,4473,3896.9,576.1
2000,4912.42,4132.42,780
2001,6071.9,5130.1,941.8
2002,7306.8,5901.5,1405.3
2003,8108.8,6461.7,1647.1
2004,9974.2,8114.7,1859.5
2005,12231.4,9228.4,3003
2006,11896.439,9722.252,2174.187
2007,11576.732,9260.002,2316.73
2008,12487.358,10443.999,2043.359
2009,10041.854,7956.151,2085.703
2010,10755.527,8488.18,2267.347
2011,12160.568,9719.873,2440.695
2012,12906.668,10691.23,2215.438
2013,13985.134,11817.617,2167.517
2014,14992.332,12578.352,2413.98
2015,13122.8,10879,2243.8
