,旅游业利润,旅游业收入,旅游业支出
国家或地区,约旦,约旦,约旦
单位,百万约旦第纳尔,百万约旦第纳尔,百万约旦第纳尔
平均,1144.574,1752.248,607.673
方差,508900.943,862904.383,57850.232
标准差,713.373,928.926,240.521
偏度,0.302,0.048,-0.122
峰度,-1.239,-1.522,-1.471
变异系数,0.623,0.53,0.396
最小,198.3,496.2,274.7
最大,2295.91,3106.61,1010.5
中位数,1159.256,1852.635,667.875
观测次数,16,16,16
2000,237.7,512.4,274.7
2001,198.3,496.2,297.9
2002,421.9,743.2,321.3
2003,432.2,752.6,320.4
2004,571.5,942.9,371.4
2005,606.6,1021.4,414.8
2006,893.3,1460.8,567.5
2007,1012.77,1638.27,625.5
2008,1378,2088.25,710.25
2009,1306.7,2067,760.3
2010,1373.41,2383.91,1010.5
2011,1305.741,2129.653,823.912
2012,2071.71,2883.569,811.859
2013,2144.8,2923.1,778.3
2014,2295.91,3106.61,810.7
2015,2062.65,2886.1,823.45
