,官方储备资产：美元
国家或地区,约旦
单位,百万美元
平均,34674.311
方差,2569635599
标准差,50691.573
偏度,1.87
峰度,2.628
变异系数,1.462
最小,553.9
最大,200679.3
中位数,11249.2
观测次数,58
1958,557.9
1959,553.9
1960,567
1961,601.7
1962,673.6
1963,758.2
1964,844.8
1965,1416.9
1966,1832.7
1967,2621.7
1968,3165.3
1969,3206.4
1970,3148.6
1971,2995
1972,2920.7
1973,3693.5
1974,3939.4
1975,5855.5
1976,6315.5
1977,7504.7
1978,10309.3
1979,12911.7
1980,15379
1981,16176.3
1982,14318.3
1983,13246.4
1984,9907.5
1985,7201.6
1986,6793.9
1987,5638.9
1988,3422.8
1989,4727.2
1990,7831
1991,12881
1992,11827.5
1993,10670.9
1994,19239.9
1995,23792.4
1996,23828.7
1997,23536.4
1998,26097.2
1999,29813.4
2000,40827.8
2001,39268.1
2002,45188.5
2003,58998.2
2004,62894.7
2005,66824.8
2006,72965.6
2007,90025.2
2008,96673.5
2009,126813.3
2010,149268.1
2011,153432.4
2012,116225.52
2013,142295.923
2014,186004.8
2015,200679.3
