,居民消费价格指数：年度同比,居民消费价格指数
国家或地区,约旦,约旦
单位,%,2010=100
平均,41.098,1220.725
方差,1666.843,24025.553
标准差,40.827,155.002
偏度,1.816,-0.385
峰度,5.346,-0.958
变异系数,0.993,0.127
最小,-10.502,965.94
最大,167.753,1409.17
中位数,34.855,1224.985
观测次数,17,10
1999,7.203,
2000,8.138,
2001,21.29,
2002,22.171,
2003,28.098,
2004,31.774,
2005,42.094,
2006,75.955,965.94
2007,57.133,1011.76
2008,167.753,1153.11
2009,-7.717,1144.58
2010,58.088,1199.97
2011,50.122,1250
2012,54.071,1306.44
2013,58.135,1369.47
2014,34.855,1409.17
2015,-10.502,1396.813
